"ID","Nombre","Referencia","Precio","Cantidad","Categoría","Imagen URL"
"1494","Reposa brazo estilo Zen color marrón oscuro","NA-COJMAR","20.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/9/4/1494-large_default.jpg"
"1495","Reposa brazo estilo Zen color marrón claro","NA-COJMARCL","20.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/9/5/1495-large_default.jpg"
"1496","Reposa brazo estilo Zen color blanco","NA-COJBLANCO","20.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/4/9/6/1496-large_default.jpg"
"1700","Plantilla en cartón para manicura","NA-PLANMAN","0.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/0/0/1700-large_default.jpg"
"1701","Plantilla en cartón para pedicura","NA-PLANMAN","0.600000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/0/1/1701-large_default.jpg"
"1720","LÃ¡piz magnetic 01","NA-MAG01","2.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/2/0/1720-large_default.jpg"
"1734","Anillos desechables rosas 100 unds.","MMCJ1017","3.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/3/4/1734-large_default.jpg"
"1763","Pinzas con luz led acero inox.","SM1007","2.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/6/3/1763-large_default.jpg"
"1764","Pinzas para depilar profesional","SM1002","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/6/4/1764-large_default.jpg"
"1765","Pinzas para depilar profesional","SM1004","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/6/5/1765-large_default.jpg"
"1766","Pinzas para depilar profesional","SM1006","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/6/6/1766-large_default.jpg"
"1767","Rizador de pestañas profesional","SM1012","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/6/7/1767-large_default.jpg"
"1768","Rizador de pestañas profesional","SM1013","2.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/6/8/1768-large_default.jpg"
"1769","Pinzas para depilar profesional","SM1003","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/6/9/1769-large_default.jpg"
"1770","Pinzas para depilar profesional","SM1002","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/7/0/1770-large_default.jpg"
"1771","Tijeras de belleza para cejas","SM1008","1.500000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/7/1/1771-large_default.jpg"
"1772","Alicate profesional para cutícula","SM90001","5.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/7/2/1772-large_default.jpg"
"1773","Alicate profesional para cutícula","SM1020","5.000000","1000","Complementos","https://wemmiprofesional.com/img/p/1/7/7/3/1773-large_default.jpg"
